time,U
2002.3877,33.03
2002.3904,33.23
2002.3932,33.63
2002.3959,31.63
2002.3986,27.53
2002.4014,31.23
2002.4041,27.93
2002.4068,28.43
2002.4096,26.93
2002.4123,29.53
2002.4151,25.73
2002.4178,31.03
2002.4205,28.33
2002.4233,28.93
2002.426,32.23
2002.4288,30.53
2002.4315,33.23
2002.4342,37.03
2002.437,37.13
2002.4397,29.03
2002.4425,29.93
2002.4452,30.83
2002.4479,33.13
2002.4507,35.83
2002.4534,39.23
2002.4562,34.03
2002.4589,34.83
2002.4616,35.93
2002.4644,24.93
2002.4671,31.33
2002.4699,32.13
2002.4726,29.63
2002.4753,32.73
2002.4781,27.13
2002.4808,26.73
2002.4836,25.73
2002.4863,30.73
2002.489,22.33
2002.4918,28.03
2002.4945,24.43
2002.4973,28.33
2002.5,27.33
2002.5027,28.63
2002.5055,30.93
2002.5082,27.93
2002.511,26.53
2002.5137,25.33
2002.5164,29.83
2002.5192,29.63
2002.5219,28.53
2002.5247,27.23
2002.5274,26.13
2002.5301,24.13
2002.5329,28.13
2002.5356,29.03
2002.5384,34.63
2002.5411,33.93
2002.5438,31.43
2002.5466,34.23
2002.5493,33.73
2002.5521,40.63
2002.5548,30.63
2002.5575,34.73
2002.5603,35.03
2002.563,37.23
2002.5658,35.13
2002.5685,26.93
2002.5712,28.53
2002.574,29.53
2002.5767,27.13
2002.5795,29.73
2002.5822,34.73
2002.5849,36.43
2002.5877,36.43
2002.5904,37.83
2002.5932,35.53
2002.5959,35.73
2002.5986,34.83
2002.6014,35.13
2002.6041,36.13
2002.6068,40.33
2002.6096,42.33
2002.6123,42.13
2002.6151,38.33
2002.6178,35.93
2002.6205,28.13
2002.6233,36.73
2002.626,30.93
2002.6288,36.43
2002.6315,35.33
2002.6342,36.03
2002.637,43.63
2002.6397,35.83
2002.6425,32.03
2002.6452,34.13
2002.6479,35.73
2002.6507,34.53
2002.6534,34.83
2002.6562,43.03
2002.6589,43.23
2002.6616,33.43
2002.6644,38.43
2002.6671,29.93
2002.6699,33.83
2002.6726,35.63
2002.6753,34.53
2002.6781,41.03
2002.6808,34.43
2002.6836,28.93
2002.6863,40.43
2002.689,37.13
2002.6918,32.43
2002.6945,33.03
2002.6973,32.83
2002.7,32.93
2002.7027,31.23
2002.7055,30.93
2002.7082,35.83
2002.711,34.43
2002.7137,31.63
2002.7164,30.33
2002.7192,32.43
2002.7219,28.43
2002.7247,27.13
2002.7274,27.93
2002.7301,32.63
2002.7329,33.23
2002.7356,29.83
2002.7384,27.93
2002.7411,32.43
2002.7438,31.43
2002.7466,28.53
2002.7493,26.73
2002.7521,31.23
2002.7548,31.23
2002.7575,34.83
2002.7603,28.73
2002.763,24.43
2002.7658,27.23
2002.7685,30.03
2002.7712,30.73
2002.774,27.03
2002.7767,24.53
2002.7795,24.23
2002.7822,24.93
2002.7849,25.23
2002.7877,30.53
2002.7904,30.63
2002.7932,32.93
2002.7959,34.23
2002.7986,32.03
2002.8014,29.83
2002.8041,32.63
2002.8068,39.23
2002.8096,46.83
2002.8123,39.43
2002.8151,37.93
2002.8178,41.63
2002.8205,42.03
2002.8233,35.13
2002.826,34.53
2002.8288,32.03
2002.8315,29.03
2002.8342,25.23
2002.837,25.63
2002.8397,33.23
2002.8425,30.93
2002.8452,32.33
2002.8479,30.53
2002.8507,36.13
2002.8534,30.13
2002.8562,32.43
2002.8589,31.83
2002.8616,28.03
2002.8644,30.13
2002.8671,33.63
2002.8699,34.63
2002.8726,36.53
2002.8753,33.23
2002.8781,34.33
2002.8808,28.73
2002.8836,21.03
2002.8863,30.13
2002.889,31.33
2002.8918,28.93
2002.8945,27.13
2002.8973,29.03
2002.9,37.73
2002.9027,31.73
2002.9055,26.53
2002.9082,25.53
2002.911,22.53
2002.9137,19.83
2002.9164,25.63
2002.9192,29.43
2002.9219,25.33
2002.9247,22.93
2002.9274,19.93
2002.9301,16.23
2002.9329,17.13
2002.9356,18.73
2002.9384,25.13
2002.9411,23.53
2002.9438,28.63
2002.9466,27.93
2002.9493,27.53
2002.9521,23.13
2002.9548,21.73
2002.9575,23.43
2002.9603,25.93
2002.963,27.03
2002.9658,33.03
2002.9685,30.73
2002.9712,27.03
2002.974,27.13
2002.9767,23.93
2002.9795,27.03
2002.9822,30.63
2002.9849,34.83
2002.9877,34.33
2002.9904,32.73
2002.9932,31.03
2002.9959,29.53
2002.9986,26.93
2003.0014,29.33
2003.0041,34.43
2003.0068,32.03
2003.0096,27.93
2003.0123,23.63
2003.0151,19.83
2003.0178,23.13
2003.0205,24.73
2003.0233,24.13
